"ncid","race_code","ethnic_code","party_cd","gender_code","birth_age","drivers_lic","register_dt","2008 GENERAL","2010 GENERAL","2012 GENERAL","2014 GENERAL","2016 GENERAL"
"DH55450","W","UN","REP","F",64,"Y",2012,0,0,1,0,1
"DX51239","W","NL","REP","F",26,"Y",2008,1,1,1,1,1
"CW959410","W","NL","UNA","M",28,"Y",2012,0,0,0,1,1
"DW38166","W","NL","UNA","F",65,"Y",1999,0,0,0,0,1
"BR97237","W","NL","REP","M",47,"Y",1998,1,0,1,0,1
"CC135120","W","NL","DEM","M",59,"Y",2014,0,0,0,1,1
"CW888472","W","NL","REP","M",36,"Y",2010,0,0,0,0,0
"BR159981","U","UN","UNA","U",35,"Y",2008,0,0,1,0,0
"CJ170072","B","NL","UNA","M",18,"Y",2016,0,0,0,0,0
"AA65621","W","NL","DEM","F",61,"Y",1988,1,1,1,1,1
"CG86901","W","NL","DEM","F",31,"Y",2015,0,0,0,0,0
"EH252507","W","NL","DEM","M",58,"Y",1994,1,1,1,1,1
"AK55874","W","NL","REP","M",48,"Y",1999,1,1,1,1,1
"CJ51883","W","NL","REP","F",41,"Y",1998,1,1,1,1,1
"CJ135661","W","NL","UNA","F",58,"Y",2008,0,0,1,0,0
"EH163766","I","NL","REP","M",50,"Y",1992,1,1,1,0,1
"DZ36788","W","NL","REP","M",65,"Y",1972,1,1,1,0,1
"CW756691","W","NL","DEM","F",44,"Y",2013,1,0,1,0,0
"BN260791","W","NL","REP","F",65,"Y",2007,1,0,1,1,1
"DE157287","W","NL","DEM","M",52,"Y",2012,0,0,1,0,0
"DC21296","B","NL","DEM","M",43,"Y",2008,1,1,1,1,1
"AN193301","W","NL","REP","M",41,"Y",2016,0,0,0,0,0
"BN132661","W","NL","UNA","M",55,"Y",1988,1,0,1,0,1
"BE322444","B","UN","UNA","M",53,"Y",2010,0,0,0,0,0
"BE320801","U","HL","DEM","F",42,"Y",2010,0,0,0,0,1
"CW852988","U","UN","DEM","M",35,"Y",2008,1,0,1,1,1
"CY32387","W","NL","UNA","F",27,"Y",2016,0,0,0,0,1
"DR50056","W","NL","DEM","F",42,"Y",1994,0,0,0,0,1
"BE37123","W","NL","DEM","M",73,"Y",2004,1,1,1,1,1
"BJ19404","W","NL","REP","M",57,"Y",1998,1,1,1,1,0
"AB30704","W","NL","UNA","M",41,"Y",2002,0,0,1,1,1
"BK22692","B","NL","DEM","F",87,"N",1996,1,1,1,1,1
"BL415656","B","UN","UNA","M",54,"Y",2008,1,0,0,0,0
"BR76203","W","NL","DEM","M",42,"N",1995,0,0,0,0,0
"DL76815","W","NL","REP","F",48,"N",1988,0,0,0,0,0
"EF28570","W","NL","UNA","M",58,"Y",1988,1,1,1,0,1
"EF164553","W","NL","REP","F",24,"Y",2011,0,0,0,0,1
"CJ135134","U","UN","REP","F",37,"Y",2008,1,0,0,0,0
"CW518711","W","NL","UNA","M",64,"Y",2000,0,0,1,1,1
"DX23156","W","NL","REP","F",73,"Y",1980,1,1,1,1,1
"BR92182","W","NL","DEM","M",40,"N",1997,0,0,0,0,0
"BT10409","W","NL","REP","M",66,"Y",2004,1,1,1,1,1
"DE247061","U","HL","UNA","M",38,"N",2008,1,0,1,0,0
"DB251309","W","NL","UNA","F",34,"Y",2012,0,0,0,0,0
"AK96067","W","UN","UNA","F",45,"Y",2007,1,1,1,1,1
"AX42209","W","UN","DEM","F",58,"Y",2004,1,1,1,1,1
"BC52172","W","UN","DEM","F",50,"Y",2006,1,0,1,1,1
"DK22402","W","NL","DEM","M",81,"Y",1997,1,1,1,1,1
"CE51694","W","NL","REP","F",34,"N",2016,0,0,0,0,1
"EH1082771","A","NL","DEM","F",18,"Y",2016,0,0,0,0,1
"BY606620","U","UN","UNA","U",23,"N",2012,0,0,0,0,0
"CF2502","W","NL","DEM","M",54,"Y",1984,1,0,1,1,1
"CW232466","B","NL","DEM","F",76,"Y",1990,1,0,1,0,1
"BE310689","W","UN","REP","F",44,"Y",2008,0,0,0,0,0
"CW1095078","W","NL","UNA","F",67,"Y",2015,0,0,0,0,1
"DC10467","B","NL","DEM","M",70,"N",1998,1,1,1,1,1
"AA133050","O","NL","UNA","M",43,"Y",2004,0,0,0,0,0
"EH405106","W","NL","REP","F",61,"Y",1998,0,0,1,0,1
